iso_country_numeric_code,iso_country_code,country,world_region,mpi,headcount_ratio,intensity,vulnerable_to_poverty,in_severe_povertty,inequality_among_the_poor,population_as_per_survey_in_given_year,population_2016,population_2017,number_of_mpi_poor_in_given_year,number_of_mpi_poor_in_2016,number_of_mpi_poor_in_2017
51,ARM,Armenia,Europe and Central Asia,6.7544804187491536E-4,0.18651599530130625,36.213946342468262,2.7175351977348328,0,...*,2924.81591796875,2924.81591796875,2930.449951171875,5.4552493095397949,5.4552493095397949,5.4657578468322754
804,UKR,Ukraine,Europe and Central Asia,8.2672422286123037E-4,0.23974981158971786,34.482789039611816,0.41862712241709232,0,...*,45349.33203125,44438.625,44222.9453125,108.72493743896484,106.54151916503906,106.02442932128906
688,SRB,Serbia,Europe and Central Asia,1.4399443753063679E-3,0.3390186931937933,42.473891377449036,3.3997617661952972,0.10490778367966413,...*,8884.7119140625,8820.0830078125,8790.57421875,30.120834350585938,29.901729583740234,29.801689147949219
795,TKM,Turkmenistan,Europe and Central Asia,1.4547742903232574E-3,0.40319161489605904,36.081460118293762,2.4080665782094002,0,...*,5662.5439453125,5662.5439453125,5758.0751953125,22.830902099609375,22.830902099609375,23.216075897216797
400,JOR,Jordan,Arab States,1.5259204665198922E-3,0.43120323680341244,35.387501120567322,0.69464072585105896,1.4041432223166339E-3,...*,9903.8017578125,9455.8017578125,9702.3525390625,42.705513000488281,40.773723602294922,41.836856842041016
398,KAZ,Kazakhstan,Europe and Central Asia,1.6108643030747771E-3,0.45304303057491779,35.55653989315033,1.7798501998186111,0,...*,17749.6484375,17987.736328125,18204.498046875,80.413543701171875,81.4921875,82.474212646484375
499,MNE,Montenegro,Europe and Central Asia,1.7485135467723012E-3,0.38257732521742582,45.703533291816711,4.2692936956882477,0.13575176708400249,...*,627.093994140625,628.614990234375,628.96002197265625,2.3991193771362305,2.4049384593963623,2.4062583446502686
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,2.4179248139262199E-3,0.63656065613031387,37.984198331832886,3.6814436316490173,9.9323398899286985E-2,...*,1334.7879638671875,1364.9620361328125,1369.125,8.496734619140625,8.6888113021850586,8.7153110504150391
462,MDV,Maldives,South Asia,2.6540937833487988E-3,0.77198902145028114,34.37994122505188,4.8432957381010056,0,...*,436.32998657226563,427.75601196289063,436.32998657226563,3.3684196472167969,3.3022294044494629,3.3684196472167969
8,ALB,Albania,Europe and Central Asia,2.7478786651045084E-3,0.70356130599975586,39.056706428527832,5.0403203815221786,6.706204148940742E-2,...*,2934.363037109375,2926.347900390625,2930.18701171875,20.645042419433594,20.588651657104492,20.61566162109375
764,THA,Thailand,East Asia and the Pacific,3.0710375867784023E-3,0.78543229028582573,39.099967479705811,7.175898551940918,0.13173464685678482,7.0000000000000001E-3,68863.515625,68863.515625,69037.515625,540.87628173828125,540.87628173828125,542.242919921875
498,MDA,Moldova,Europe and Central Asia,3.5339051391929388E-3,0.94363316893577576,37.449988722801208,3.6997333168983459,6.3273840351030231E-2,...*,4073.702880859375,4059.60791015625,4051.2119140625,38.440811157226563,38.307807922363281,38.228580474853516
275,PSE,"Palestine, State of",Arab States,3.5861686337739229E-3,0.95522478222846985,37.542667984962463,5.3844712674617767,7.0715817855671048E-2,3.0000000000000001E-3,4537.4248046875,4790.705078125,4920.72412109375,43.342605590820313,45.762001037597656,47.003974914550781
788,TUN,Tunisia,Arab States,5.2534108981490135E-3,1.3236835598945618,39.687815308570862,3.7468273192644119,0.18516730051487684,6.0000000000000001E-3,10886.66796875,11403.248046875,11532.126953125,144.10504150390625,150.94291687011719,152.64886474609375
662,LCA,Saint Lucia,Latin America and the Caribbean,7.2018620558083057E-3,1.9211310893297195,37.487614154815674,1.6434136778116226,0,...*,174.83500671386719,178.01499938964844,178.843994140625,3.3588097095489502,3.4199016094207764,3.4358274936676025
434,LBY,Libya,Arab States,7.4090491980314255E-3,1.996142789721489,37.116831541061401,11.288735270500183,9.3019212363287807E-2,3.0000000000000001E-3,6204.10791015625,6293.2529296875,6374.6162109375,123.84284973144531,125.622314453125,127.24644470214844
12,DZA,Algeria,Arab States,8.1522576510906219E-3,2.1007290109992027,38.806799054145813,5.8367747813463211,0.27806451544165611,6.0000000000000001E-3,38338.5625,40606.05078125,41318.140625,805.3892822265625,853.0230712890625,867.982177734375
417,KGZ,Kyrgyzstan,Europe and Central Asia,8.2779787480831146E-3,2.2790296003222466,36.322382092475891,8.3062350749969482,3.710864984896034E-2,2E-3,5774.56591796875,5955.73388671875,6045.1171875,131.60406494140625,135.73294067382813,137.77000427246094
70,BIH,Bosnia and Herzegovina,Europe and Central Asia,8.3074960857629776E-3,2.1901335567235947,37.93146014213562,4.0741875767707825,6.2031613197177649E-2,2E-3,3648.199951171875,3516.81591796875,3507.01708984375,79.90045166015625,77.022964477539063,76.808357238769531
52,BRB,Barbados,Latin America and the Caribbean,8.5288621485233307E-3,2.4913368746638298,34.234076738357544,0.49179536290466785,0,...*,281.58499145507813,284.99600219726563,285.718994140625,7.015230655670166,7.1002106666564941,7.118222713470459
807,MKD,TFYR of Macedonia,Europe and Central Asia,9.5581319183111191E-3,2.5327704846858978,37.737855315208435,2.8599826619029045,0.24311947636306286,7.0000000000000001E-3,2072.383056640625,2081.2060546875,2083.159912109375,52.488704681396484,52.712173461914063,52.76165771484375
328,GUY,Guyana,Latin America and the Caribbean,1.4073709957301617E-2,3.3662345260381699,41.808468103408813,5.8443069458007813,0.67653008736670017,8.0000000000000002E-3,763.39300537109375,773.302978515625,777.8590087890625,25.697599411010742,26.031192779541016,26.184558868408203
214,DOM,Dominican Republic,Latin America and the Caribbean,1.5103261917829514E-2,3.8800504058599472,38.925430178642273,5.1882725208997726,0.45304866507649422,6.0000000000000001E-3,10405.84375,10648.791015625,10766.998046875,403.75198364257813,413.178466796875,417.76495361328125
156,CHN,China,East Asia and the Pacific,1.5957511961460114E-2,3.862135112285614,41.317850351333618,17.14082658290863,0.31879707239568233,5.0000000000000001E-3,1390110.375,1403500.375,1409517.375,53687.94140625,54205.08203125,54437.46484375
76,BRA,Brazil,Latin America and the Caribbean,1.6346041113138199E-2,3.8419269025325775,42.546465992927551,6.2107954174280167,0.93878358602523804,8.0000000000000002E-3,205962.109375,207652.859375,209288.28125,7912.91357421875,7977.87109375,8040.70263671875
84,BLZ,Belize,Latin America and the Caribbean,1.710883155465126E-2,4.3035432696342468,39.755219221115112,8.3647675812244415,0.63023953698575497,7.0000000000000001E-3,366.95401000976563,366.95401000976563,374.68099975585938,15.792024612426758,15.792024612426758,16.12455940246582
218,ECU,Ecuador,Latin America and the Caribbean,1.7952883616089821E-2,4.4891718775033951,39.991527795791626,7.5487911701202393,0.82653583958745003,7.0000000000000001E-3,15903.1123046875,16385.068359375,16624.857421875,713.91802978515625,735.55389404296875,746.31842041015625
388,JAM,Jamaica,Latin America and the Caribbean,1.8152866512537003E-2,4.6869043260812759,38.731038570404053,6.4129263162612915,0.81172119826078415,...*,2862.0869140625,2881.35498046875,2890.299072265625,134.14328002929688,135.04635620117188,135.46554565429688
600,PRY,Paraguay,Latin America and the Caribbean,1.8848581239581108E-2,4.5007452368736267,41.878798604011536,7.1814589202404022,0.97389528527855873,1.2999999999999999E-2,6725.30810546875,6725.30810546875,6811.296875,302.68899536132813,302.68899536132813,306.55911254882813
704,VNM,Vietnam,East Asia and the Pacific,1.9334172829985619E-2,4.8951778560876846,39.496365189552307,5.6199222803115845,0.72519131936132908,0.01,92544.9140625,94569.0703125,95540.796875,4530.23828125,4629.32421875,4676.89208984375
818,EGY,Egypt,Arab States,1.9424961879849434E-2,5.1644265651702881,37.613007426261902,6.0655087232589722,0.57906070724129677,4.0000000000000001E-3,91812.5625,95688.6796875,97553.1484375,4741.59228515625,4941.771484375,5038.060546875
170,COL,Colombia,Latin America and the Caribbean,1.9657272845506668E-2,4.8462502658367157,40.561819076538086,6.2302872538566589,0.82613145932555199,8.9999999999999993E-3,48653.41796875,48653.41796875,49065.61328125,2357.866455078125,2357.866455078125,2377.842529296875
608,PHL,Philippines,East Asia and the Pacific,2.4249343201518059E-2,5.7959817349910736,41.83819591999054,7.2595946490764618,1.2747238390147686,0.01,104918.09375,103320.21875,104918.09375,6081.03369140625,5988.4208984375,6081.03369140625
484,MEX,Mexico²,Latin America and the Caribbean,2.4719998240470886E-2,6.3027821481227875,39.220774173736572,4.737420380115509,1.0204114019870758,8.0000000000000002E-3,127540.421875,127540.421875,129163.2734375,8038.5947265625,8038.5947265625,8140.8798828125
710,ZAF,South Africa,Sub-Saharan Africa,2.4890642613172531E-2,6.2568813562393188,39.781227707862854,12.16881275177002,0.94499429687857628,5.0000000000000001E-3,56015.47265625,56015.47265625,56717.15625,3504.82177734375,3504.82177734375,3548.72509765625
360,IDN,Indonesia,East Asia and the Pacific,2.828042209148407E-2,7.0123188197612762,40.329632163047791,9.1397993266582489,1.1671674437820911,8.9999999999999993E-3,248883.234375,261115.453125,263991.375,17452.486328125,18310.248046875,18511.916015625
760,SYR,Syria,Arab States,2.8774330392479897E-2,7.391764223575592,38.927552103996277,7.7484488487243652,1.2294572778046131,6.0000000000000001E-3,20824.892578125,18430.453125,18269.8671875,1539.326904296875,1362.335693359375,1350.4654541015625
762,TJK,Tajikistan,Europe and Central Asia,2.9005924239754677E-2,7.4446059763431549,38.962334394454956,20.086507499217987,0.73162256740033627,4.0000000000000001E-3,8921.3427734375,8734.951171875,8921.3427734375,664.1588134765625,650.28271484375,664.1588134765625
222,SLV,El Salvador,Latin America and the Caribbean,3.2462511211633682E-2,7.8608855605125427,41.296249628067017,9.8907351493835449,1.6646392643451691,8.9999999999999993E-3,6281.18896484375,6344.72216796875,6377.85302734375,493.757080078125,498.7513427734375,501.355712890625
368,IRQ,Iraq,Arab States,3.2694324851036072E-2,8.6354188621044159,37.860727310180664,5.2437316626310349,1.3125265948474407,5.0000000000000001E-3,39339.75390625,37202.5703125,38274.6171875,3397.152587890625,3212.59765625,3305.173583984375
740,SUR,Suriname,Latin America and the Caribbean,4.0718883275985718E-2,9.3831323087215424,43.395829200744629,4.4727660715579987,2.5114383548498154,1.7999999999999999E-2,526.10302734375,558.36798095703125,563.4019775390625,49.364944458007813,52.392406463623047,52.864753723144531
496,MNG,Mongolia,East Asia and the Pacific,4.2342282831668854E-2,10.162071138620377,41.66698157787323,19.153670966625214,1.5775894746184349,7.0000000000000001E-3,2869.10693359375,3027.39794921875,3075.64697265625,291.56069946289063,307.64633178710938,312.5494384765625
604,PER,Peru,Latin America and the Caribbean,5.2671421319246292E-2,12.659823894500732,41.605177521705627,12.533377110958099,2.8767729178071022,8.9999999999999993E-3,30158.966796875,31773.83984375,32165.484375,3818.072021484375,4022.51220703125,4072.09375
266,GAB,Gabon,Sub-Saharan Africa,6.5788686275482178E-2,14.848451316356659,44.306766986846924,17.504261434078217,4.6936307102441788,1.2999999999999999E-2,1756.8170166015625,1979.7860107421875,2025.136962890625,260.860107421875,293.96755981445313,300.70147705078125
558,NIC,Nicaragua,Latin America and the Caribbean,7.3502786457538605E-2,16.26317948102951,45.19582986831665,13.190792500972748,5.5140666663646698,1.2999999999999999E-2,5877.10791015625,6149.92822265625,6217.5810546875,955.80462646484375,1000.1738891601563,1011.1763916015625
748,SWZ,eSwatini,Sub-Saharan Africa,8.1271320581436157E-2,19.213774800300598,42.298465967178345,20.853126049041748,4.3568398803472519,8.9999999999999993E-3,1295.0970458984375,1343.0980224609375,1367.2540283203125,248.8370361328125,258.059814453125,262.70111083984375
504,MAR,Morocco,Arab States,8.4816329181194305E-2,18.566420674324036,45.682647824287415,13.15150260925293,6.4891152083873749,1.7000000000000001E-2,32858.82421875,35276.78515625,35739.578125,6100.70751953125,6549.63623046875,6635.560546875
340,HND,Honduras,Latin America and the Caribbean,8.9526675641536713E-2,19.302743673324585,46.380284428596497,22.262671589851379,6.5423369407653809,1.2999999999999999E-2,8505.646484375,9112.8671875,9265.0673828125,1641.8231201171875,1759.033447265625,1788.4122314453125
678,STP,Sao Tome and Principe,Sub-Saharan Africa,9.1964878141880035E-2,22.061072289943695,41.686496138572693,19.385327398777008,4.3749146163463593,8.0000000000000002E-3,191.26600646972656,199.91000366210938,204.32699584960938,42.195331573486328,44.102291107177734,45.076725006103516
68,BOL,Bolivia,Latin America and the Caribbean,9.3749389052391052E-2,20.399002730846405,45.957830548286438,15.66472053527832,7.0767462253570557,1.4E-2,11215.673828125,10887.8818359375,11051.599609375,2287.885498046875,2221.019287109375,2254.416015625
418,LAO,Lao PDR,East Asia and the Pacific,0.10833325237035751,23.072345554828644,46.953722834587097,21.181386709213257,9.5604844391345978,1.6E-2,6858.16015625,6758.35302734375,6858.16015625,1582.33837890625,1559.310546875,1582.33837890625
178,COG,Congo,Sub-Saharan Africa,0.11167629808187485,24.266834557056427,46.020132303237915,21.30538672208786,9.379095584154129,1.2999999999999999E-2,4995.64794921875,5125.82080078125,5260.75,1212.28564453125,1243.87451171875,1276.6175537109375
356,IND,India,South Asia,0.12265247106552124,27.907723188400269,43.949294090270996,19.265684485435486,8.773060142993927,1.4E-2,1324171.375,1324171.375,1339180.125,369546.09375,369546.09375,373734.6875
320,GTM,Guatemala,Latin America and the Caribbean,0.13351781666278839,28.881826996803284,46.229007840156555,21.087646484375,11.21537908911705,1.2999999999999999E-2,16252.4287109375,16582.46875,16913.50390625,4693.99853515625,4789.31982421875,4884.9287109375
716,ZWE,Zimbabwe,Sub-Saharan Africa,0.13651253283023834,31.802165508270264,42.925545573234558,27.388456463813782,8.0270320177078247,8.9999999999999993E-3,15777.451171875,16150.3623046875,16529.904296875,5017.5712890625,5136.1650390625,5256.86767578125
288,GHA,Ghana,Sub-Saharan Africa,0.13787317276000977,30.0741046667099,45.844480395317078,22.019967436790466,10.426182299852371,1.6E-2,26962.5625,28206.728515625,28833.62890625,8108.7490234375,8482.9208984375,8671.4560546875
426,LSO,Lesotho,Sub-Saharan Africa,0.14579296112060547,33.573231101036072,43.425360321998596,24.447861313819885,8.5319370031356812,0.01,2145.784912109375,2203.821044921875,2233.339111328125,720.4093017578125,739.8939208984375,749.8040771484375
524,NPL,Nepal,South Asia,0.14826083183288574,33.989971876144409,43.61899197101593,22.326602041721344,11.586819589138031,1.2E-2,28982.771484375,28982.771484375,29304.998046875,9851.236328125,9851.236328125,9960.7607421875
116,KHM,Cambodia,East Asia and the Pacific,0.17034812271595001,37.185689806938171,45.810127258300781,21.125216782093048,13.206703960895538,1.4999999999999999E-2,15270.7900390625,15762.3701171875,16005.373046875,5678.548828125,5861.34619140625,5951.70849609375
516,NAM,Namibia,Sub-Saharan Africa,0.17144882678985596,38.002175092697144,45.115530490875244,20.268869400024414,12.161606550216675,1.2E-2,2316.52001953125,2479.712890625,2533.7939453125,880.3280029296875,942.3448486328125,962.89678955078125
548,VUT,Vanuatu,East Asia and the Pacific,0.17388290166854858,38.762772083282471,44.858220219612122,32.295158505439758,10.158028453588486,1.2E-2,219.9530029296875,270.40200805664063,276.24398803710938,85.259880065917969,104.81531524658203,107.07982635498047
64,BTN,Bhutan,South Asia,0.17486399412155151,37.341129779815674,46.828791499137878,17.675945162773132,14.676308631896973,1.6E-2,727.6409912109375,797.7650146484375,807.6099853515625,271.70938110351563,297.89447021484375,301.5706787109375
104,MMR,Myanmar,East Asia and the Pacific,0.17584623396396637,38.315859436988831,45.893850922584534,21.916595101356506,13.844822347164154,1.4999999999999999E-2,52885.22265625,52885.22265625,53370.609375,20263.427734375,20263.427734375,20449.408203125
404,KEN,Kenya,Sub-Saharan Africa,0.17788113653659821,38.677608966827393,45.990726351737976,34.879150986671448,13.330286741256714,1.4E-2,46024.25,48461.56640625,49699.86328125,17801.080078125,18743.775390625,19222.71875
174,COM,Comoros,Sub-Saharan Africa,0.18077141046524048,37.264919281005859,48.509809374809265,22.253407537937164,16.081012785434723,0.02,723.86798095703125,795.60101318359375,813.9119873046875,269.74880981445313,296.48007202148438,303.30364990234375
50,BGD,Bangladesh,South Asia,0.19791468977928162,41.697216033935547,47.464725375175476,21.418461203575134,16.721531748771667,1.6E-2,159405.28125,162951.5625,164669.75,66467.5625,67946.265625,68662.703125
586,PAK,Pakistan,South Asia,0.19824740290641785,38.332131505012512,51.718336343765259,12.919580936431885,21.467651426792145,2.3E-2,200813.8125,193203.46875,197015.953125,76976.2109375,74059.0078125,75520.4140625
332,HTI,Haiti,Latin America and the Caribbean,0.19958770275115967,41.26889705657959,48.362737894058228,21.848146617412567,18.526968359947205,1.9E-2,10981.228515625,10847.333984375,10981.228515625,4531.83203125,4476.5751953125,4531.83203125
626,TLS,Timor-Leste,East Asia and the Pacific,0.20961754024028778,45.818421244621277,45.749619603157043,26.065316796302795,16.331364214420319,1.4E-2,1268.6710205078125,1268.6710205078125,1296.31103515625,581.2850341796875,581.2850341796875,593.94927978515625
384,CIV,Côte d'Ivoire,Sub-Saharan Africa,0.23587100207805634,46.067485213279724,51.201188564300537,17.572289705276489,24.465472996234894,1.9E-2,23695.919921875,23695.919921875,24294.75,10916.1142578125,10916.1142578125,11191.98046875
887,YEM,Yemen,Arab States,0.24073454737663269,47.698307037353516,50.470250844955444,22.074685990810394,23.885250091552734,2.1000000000000001E-2,25576.322265625,27584.212890625,28250.419921875,12199.47265625,13157.2021484375,13474.9716796875
120,CMR,Cameroon,Sub-Saharan Africa,0.24268993735313416,45.326483249664307,53.542637825012207,17.290203273296356,25.559219717979431,2.5999999999999999E-2,22239.904296875,23439.189453125,24053.7265625,10080.56640625,10624.16015625,10902.7080078125
454,MWI,Malawi,Sub-Saharan Africa,0.24314294755458832,52.621102333068848,46.206355094909668,28.451380133628845,18.476572632789612,1.2999999999999999E-2,18091.57421875,18091.57421875,18622.103515625,9519.9853515625,9519.9853515625,9799.15625
768,TGO,Togo,Sub-Saharan Africa,0.24868223071098328,48.153257369995117,51.643908023834229,21.805073320865631,24.327453970909119,2.3E-2,7228.9150390625,7606.3740234375,7797.69384765625,3480.9580078125,3662.716796875,3754.843505859375
646,RWA,Rwanda,Sub-Saharan Africa,0.25867766141891479,54.424560070037842,47.529581189155579,25.706258416175842,22.205132246017456,1.2999999999999999E-2,11629.552734375,11917.5078125,12208.4072265625,6329.3330078125,6486.05126953125,6644.3720703125
478,MRT,Mauritania,Sub-Saharan Africa,0.26064398884773254,50.566339492797852,51.544958353042603,18.570713698863983,26.28568708896637,1.9E-2,4182.3408203125,4301.01806640625,4420.18408203125,2114.856689453125,2174.867431640625,2235.125244140625
894,ZMB,Zambia,Sub-Saharan Africa,0.26134052872657776,53.243720531463623,49.083819985389709,22.481249272823334,24.182745814323425,1.7000000000000001E-2,15620.9736328125,16591.390625,17094.130859375,8317.1875,8833.8740234375,9101.55078125
800,UGA,Uganda,Sub-Saharan Africa,0.26884636282920837,55.091989040374756,48.799535632133484,24.909539520740509,24.142150580883026,1.7000000000000001E-2,41487.96484375,41487.96484375,42862.95703125,22856.544921875,22856.544921875,23614.0546875
4,AFG,Afghanistan,South Asia,0.2717212438583374,55.910241603851318,48.599550127983093,18.137624859809875,24.861951172351837,0.02,34656.03125,34656.03125,35530.08203125,19376.271484375,19376.271484375,19864.955078125
834,TZA,Tanzania,Sub-Saharan Africa,0.27343153953552246,55.448424816131592,49.312767386436462,24.197521805763245,25.918424129486084,1.6E-2,55572.19921875,55572.19921875,57310.01953125,30813.908203125,30813.908203125,31777.50390625
729,SDN,Sudan,Arab States,0.27943959832191467,52.328044176101685,53.40149998664856,17.660528421401978,30.878278613090515,2.3E-2,37737.9140625,39578.828125,40533.328125,19747.51171875,20710.826171875,21210.296875
24,AGO,Angola,Sub-Saharan Africa,0.28243505954742432,51.104110479354858,55.266600847244263,15.542855858802795,32.45755136013031,2.4E-2,28813.462890625,28813.462890625,29784.193359375,14724.8642578125,14724.8642578125,15220.947265625
270,GMB,Gambia,Sub-Saharan Africa,0.28578442335128784,55.237489938735962,51.737403869628906,21.762777864933014,31.991949677467346,1.7999999999999999E-2,1859.323974609375,2038.5009765625,2100.568115234375,1027.0439453125,1126.0167236328125,1160.3011474609375
686,SEN,Senegal,Sub-Saharan Africa,0.28798049688339233,53.171175718307495,54.161012172698975,16.370362043380737,32.773551344871521,2.1000000000000001E-2,15850.5673828125,15411.6142578125,15850.5673828125,8427.9326171875,8194.5361328125,8427.9326171875
566,NGA,Nigeria,Sub-Saharan Africa,0.29115793108940125,51.431214809417725,56.611126661300659,16.811713576316833,32.291311025619507,2.9000000000000001E-2,190886.3125,185989.640625,190886.3125,98175.1484375,95656.734375,98175.1484375
694,SLE,Sierra Leone,Sub-Saharan Africa,0.29669848084449768,57.930451631546021,51.216322183609009,19.636359810829163,30.420693755149841,0.02,7557.2119140625,7396.18994140625,7557.2119140625,4377.9267578125,4284.64599609375,4377.9267578125
430,LBR,Liberia,Sub-Saharan Africa,0.31968367099761963,62.937968969345093,50.793451070785522,21.36828601360321,32.109934091567993,1.9E-2,4286.291015625,4613.8232421875,4731.90576171875,2697.70458984375,2903.8466796875,2978.165283203125
324,GIN,Guinea,Sub-Saharan Africa,0.33598136901855469,61.862784624099731,54.310745000839233,17.150694131851196,37.731629610061646,2.1999999999999999E-2,12395.923828125,12395.923828125,12717.17578125,7668.4638671875,7668.4638671875,7867.19921875
204,BEN,Benin,Sub-Saharan Africa,0.36767482757568359,66.798889636993408,55.042058229446411,14.68622237443924,40.937143564224243,2.5000000000000001E-2,11485.673828125,10872.2978515625,11175.6923828125,7672.302734375,7262.57421875,7465.23828125
624,GNB,Guinea-Bissau,Sub-Saharan Africa,0.37230676412582397,67.293667793273926,55.325675010681152,19.178792834281921,40.382367372512817,2.5000000000000001E-2,1725.7440185546875,1815.697998046875,1861.282958984375,1161.31640625,1221.8497314453125,1252.5255126953125
180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,0.38901683688163757,74.047166109085083,52.536356449127197,16.809186339378357,43.865600228309631,0.02,73722.859375,78736.15625,81339.984375,54589.6875,58301.890625,60229.953125
108,BDI,Burundi,Sub-Saharan Africa,0.40317395329475403,74.254781007766724,54.296022653579712,16.281487047672272,45.307749509811401,2.1999999999999999E-2,10864.2451171875,10524.1171875,10864.2451171875,8067.22119140625,7814.66015625,8067.22119140625
508,MOZ,Mozambique,Sub-Saharan Africa,0.41070541739463806,72.452455759048462,56.686198711395264,13.5698601603508,49.102935194969177,2.3E-2,24939.005859375,28829.4765625,29668.833984375,18068.921875,20887.6640625,21495.798828125
450,MDG,Madagascar,Sub-Saharan Africa,0.45255112648010254,77.763491868972778,58.19583535194397,11.800471693277359,57.141143083572388,2.3E-2,20569.12109375,24894.55078125,25570.89453125,15995.2666015625,19358.87109375,19884.8203125
466,MLI,Mali,Sub-Saharan Africa,0.45676413178443909,78.08646559715271,58.494657278060913,10.864633321762085,56.59719705581665,2.4E-2,17467.904296875,17994.837890625,18541.98046875,13640.0693359375,14051.533203125,14478.77734375
140,CAF,Central African Republic,Sub-Saharan Africa,0.46486374735832214,79.360294342041016,58.576363325119019,13.121899962425232,54.722899198532104,2.8000000000000001E-2,4448.52490234375,4594.62109375,4659.080078125,3530.362548828125,3646.304931640625,3697.459716796875
231,ETH,Ethiopia,Sub-Saharan Africa,0.48879027366638184,83.503842353820801,58.53506326675415,8.8820956647396088,61.48112416267395,2.4E-2,102403.1953125,102403.1953125,104957.4375,85510.6015625,85510.6015625,87643.4921875
854,BFA,Burkina Faso,Sub-Saharan Africa,0.51905924081802368,83.834439516067505,61.914795637130737,7.4463993310928345,64.781844615936279,2.7E-2,15605.216796875,18646.43359375,19193.3828125,13082.5458984375,15632.1328125,16090.6650390625
148,TCD,Chad,Sub-Saharan Africa,0.53344196081161499,85.673177242279053,62.264764308929443,9.8677732050418854,66.104114055633545,2.5999999999999999E-2,14009.4130859375,14452.54296875,14899.994140625,12002.3095703125,12381.953125,12765.298828125
728,SSD,South Sudan,Sub-Saharan Africa,0.58015745878219604,91.862887144088745,63.154715299606323,6.3365347683429718,74.343174695968628,2.3E-2,10067.1923828125,12230.73046875,12575.7138671875,9248.013671875,11235.501953125,11552.4140625
562,NER,Niger,Sub-Saharan Africa,0.5901482105255127,90.470737218856812,65.230840444564819,5.0929337739944458,74.774283170700073,2.5999999999999999E-2,17731.634765625,20672.986328125,21477.34765625,16041.9404296875,18703.00390625,19430.71484375
